GeneID,Gene.type,Base.mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,significance
GNG13,protein_coding,53318.7661,12.63870061,1.007425915,12.54553851,4.21E-36,6.12E-35,sig
LY6G6F,protein_coding,373.5801461,12.39389176,0.762821815,16.24742702,2.33E-59,9.14E-58,sig
SOX8,protein_coding,125407.3571,12.20719999,0.89353049,13.66176099,1.72E-42,3.26E-41,sig
PDIA2,protein_coding,93112.38136,11.91300059,1.033391023,11.52806665,9.53E-31,1.05E-29,sig
NHLRC4,protein_coding,123820.0359,11.67468478,0.648924148,17.99083114,2.3E-72,1.56E-70,sig
HBQ1,protein_coding,33882.83821,10.98135952,0.942292009,11.65388162,2.19E-31,2.51E-30,sig
CABP5,protein_coding,97.31304066,10.78666809,0.716495078,15.05476928,3.21E-51,9.13E-50,sig
RGS11,protein_coding,103572.0532,10.59250834,1.086436092,9.749775815,1.85E-22,1.31E-21,sig
HBE1,protein_coding,969.4658303,10.52474053,1.342736046,7.838279581,4.57E-15,2.07E-14,sig
WFIKKN1,protein_coding,116698.4799,10.51158427,0.710792421,14.78854299,1.74E-49,4.54E-48,sig
HBZ,protein_coding,1227.843994,10.10206031,1.215713645,8.309572197,9.6E-17,4.84E-16,sig
CCDC78,protein_coding,93143.9223,10.07623251,0.668346841,15.07635242,2.32E-51,6.6E-50,sig
HBA1,protein_coding,9148909.618,9.993926303,0.923757871,10.81877256,2.81E-27,2.59E-26,sig
TCL1B,protein_coding,54.52682236,9.849361445,0.895006906,11.0047882,3.62E-28,3.51E-27,sig
RHBDL1,protein_coding,95084.85171,9.745094677,0.669394766,14.55806824,5.19E-48,1.27E-46,sig
EPB42,protein_coding,2473.580623,9.732252533,1.054324347,9.230795587,2.69E-20,1.69E-19,sig
HBM,protein_coding,6033.181739,9.62308426,1.142113349,8.425682323,3.59E-17,1.86E-16,sig
BEND2,protein_coding,192.7397852,9.492689011,0.668370206,14.20274112,8.81E-46,1.94E-44,sig
HBA2,protein_coding,7195717.513,9.449164253,0.923115961,10.23616171,1.37E-24,1.08E-23,sig
GP1BB,protein_coding,1740.226563,9.407715006,0.711085617,13.23007354,5.88E-40,1E-38,sig
HBD,protein_coding,133151.0106,9.242014559,1.093936794,8.448399035,2.95E-17,1.54E-16,sig
HBB,protein_coding,12315758.69,9.236103315,0.90663322,10.18725446,2.26E-24,1.78E-23,sig
GP6,protein_coding,220.8895855,9.168325629,0.846201611,10.83468231,2.36E-27,2.18E-26,sig
PHOSPHO1,protein_coding,53902.52581,9.128711641,0.545238087,16.74261548,6.41E-63,2.9E-61,sig
SLC4A1,protein_coding,12921.11714,9.084468792,1.191034691,7.627375474,2.4E-14,1.04E-13,sig
